English,Vietnamese
part,phần
history,lịch sử
search,Tìm kiếm
only,chỉ có
police,cảnh sát viên
thought,tư tưởng
help,Cứu giúp
request,lời yêu cầu
kind,tốt bụng
month,tháng
brother,Anh trai
let,để cho
because,tại vì
to put,để đặt
no,không
leash,dây xích
them,họ
city,thành phố
each,mỗi
speak,nói
come,đến
should,Nên
baby,đứa bé
long time,thời gian dài
hours,giờ
will,sẽ
while,trong khi
meet again,gặp lại nhau
any,không tí nào
square,Quảng trường
speak,nói
understood,hiểu
knew,biết
were,là
Warning,Cảnh báo
here is,đây là
could,có thể
case,trường hợp
give,cho
type,loại hình
their,của chúng
given,được
train,xe lửa
body,thân hình
place,nơi
eyes,nhìn
way,đường
listen,nghe
whose,của ai
find,tìm thấy
first,Đầu tiên
lost,mất đi
hand,tay
first,Đầu tiên
side,cạnh
power,sức mạnh
old,cũ
be,thì là ở
here,nơi đây
morning,buổi sáng
so much,rất nhiều
child,đứa trẻ
point,điểm
came,đã đến
after,sau
sorry,lấy làm tiếc
come,đến
in front of,ở đằng trước
towards,đối với
minutes,phút
request,lời yêu cầu
bedroom,Phòng ngủ
placed,đặt
beautiful,xinh đẹp
law,pháp luật
would like to,muốn
today,hôm nay
husband,người chồng
cause,gây ra
finally,cuối cùng
hope,mong
water,nước
Wait,Chờ đợi
left,bên trái
new,Mới
job,Công việc
Stop,Dừng lại
would say,sẽ nói
Earth,Trái đất
account,tài khoản
given,được
far,xa
end,chấm dứt
believe,tin
sweetheart,người yêu
large,lớn
rather,hơn là
will have,sẽ có
girls,Cô gái
to play,chơi
office,văn phòng
